10,"I came in with meager expectations and was genuinely blown away with how the film handled the story, paced the action, and played out as a whole. The acting was superb, the effects made you feel like you were watching a Star Wars film - and not some CGI mind-maze - and the story was genuinely well written. I loved all of the classic Star Wars easter eggs that were thrown in, and that the main character gave a nod to Jan Ors from the Dark Forces games of the 90s. It was original, but above all very entertaining. The critic metascore does not reflect its quality. It definitely plays out more like a war drama in a sci-fi setting than anything else, but I think it is all the better for it. Although quite different from any of its predecessors, it is a wonderful film that I feel surpasses The 'Force Awakens' in almost every facet, and can rightly take its spot with Episodes IV-VI in the Star Wars canon."
10,"Critics are pretty wrong on this one. Characters could have been developed a little more, but the tension, cinematography and, overall story didn't disappoint. No one in my theater seemed unhappy and many even clapped an cheered and this was 2 days after the premier on a 6:30 showing."
10,"I was 12 when the last decent Star Wars movie came out.I've been burned ever since: Special Editions, Prequels, Force Awakens (sorry, it sucks).So the bar was pretty low going in to the midnight screening.10 minutes in and I remember turning to my friend (another 70's child) and saying 'I don't know about you, but I'm f**kin lovin this already'.By the end I couldn't get out of the seat. I was an emotional wreck. I had another emotional breakdown in the car on the way home.To everyone involved in making this film:Thank you for making Star Was awesome againI'm going again tonight, just to make sure I didn't dream this."
10,"
Rogue One was spectacular and everything I wanted it to be. I consider this movie an apology for the abysmal Force Awakens and for this I can only say one thing: Apology accepted!
"
10,"10/10    I AM ONE WITH THE FORCE, AND THE FORCE IS WITH ME! I'm absolutely stunned and thrilled right now because I just witnessed the most authentic and truest representation of a Star Wars film since the original classic trilogy. This was nothing short of phenomenal and executed every single aspect of the galaxy/franchise in flawless fashion. From the gargantuan scale of the vastly magnificently planet scapes and ships to the wild variation of the characters, this might be the greatest film in the franchise yet. The action scenes are plenty and are amazingly set up on the ground and in the air. The cgi is the best I've seen in any film ever and the grand scale is masterful. The story was easily the most adventurous and well told than any in the franchise. The score was brilliant and captured the Star Wars feel beautifully. Gareth Edwards will now be known as one of the best new directors around after crafting this masterpiece. I was going to wait to see but couldn't hold my excitement and I would recommend everyone see this in the theatre for all It's glory."
10,"
Love this movie so much.  Great story, great acting, great pacing, great plot.  The ending was epic.  Going to see it again tomorrow. The movie starts of slow but builds to a hectic tempo by the end.
"
10,"While Force Awakens played heavily on the nostalgia factor, Rogue One takes all the risks and it works out wonderful. No opening scroll so we jump right into the action. It ties up a lot of plot holes from the previous films (such as why the Death Star had it's fatal flaw), The action scenes are beautiful and the ending couldn't have been any better. They took a lot of risks with the CG (anyone who saw the film knows what I am talking about) but it paid off perfectly.My only complaint is that they didn't use the new villain as well as they could have. Aside from that, Go and see it immediately. It blows FA out of the water imo and I loved FA."
10,"
This is a movie about war.  A war that takes place amongst the stars.  It has a lot of war in it, and also a lot of stars.  I guess what I'm saying is that if you wanted a movie about war, and stars, you came to the right place.  10/10
"
10,"
Great.great.great! Everything I wanted, yet so much more. Some of the best war scenes in any fantasy film, let alone star wars! Edwards is one to look out for.
"
10,"This is the Star Wars you've been waiting for.  This is the Star Wars we deserve.  The best Star Wars movie since the original trilogy.  Its got everything you could ever want, from storm troopers and gritty combat, to space battles and a more traditional take on faith in The Force.  I want to go into detail, but I dont want to ruin the experience for anyone.  Just know its a great Star Wars film, and perfectly ties into the original trilogy.Hollywood:  this is it,  this is what we want.  All future movies need to take their cue from Rogue One.  I dont know why the critics rated this lower than Force Awakens, clearly the fans are rating this higher, and I'm right there with them.Great, great movie.  Go watch it!"
